MSSubClass,OverallCond,TotalBsmtSF,GrLivArea,FullBath,BedroomAbvGr,TotRmsAbvGrd,GarageArea,Age,SalePrice
60,5,856,1710,2,3,8,548,5,208500
20,8,1262,1262,2,3,6,460,31,181500
60,5,920,1786,2,3,6,608,7,223500
70,5,756,1717,1,3,7,642,91,140000
60,5,1145,2198,2,4,9,836,8,250000
50,5,796,1362,1,1,5,480,16,143000
20,5,1686,1694,2,3,7,636,3,307000
60,6,1107,2090,2,3,7,484,36,200000
50,5,952,1774,2,2,8,468,77,129900
190,6,991,1077,1,2,5,205,69,118000
20,5,1040,1040,1,3,5,384,43,129500
60,5,1175,2324,3,4,11,736,1,345000
20,6,912,912,1,2,4,352,46,144000
20,5,1494,1494,2,3,7,840,1,279500
20,5,1253,1253,1,2,5,352,48,157000
45,8,832,854,1,2,5,576,78,132000
20,7,1004,1004,1,2,5,480,40,149000
90,5,0,1296,2,2,6,516,39,90000
20,5,1114,1114,1,3,6,576,4,159000
20,6,1029,1339,1,3,6,294,51,139000
60,5,1158,2376,3,4,9,853,1,325300
45,7,637,1108,1,3,6,280,77,139400
20,5,1777,1795,2,3,7,534,6,230000
120,7,1040,1060,1,3,6,572,31,129900
20,8,1060,1060,1,3,6,270,42,154000
20,5,1566,1600,2,3,7,890,2,256300
20,7,900,900,1,3,5,576,59,134800
20,5,1704,1704,2,3,7,772,3,306000
20,6,1484,1600,1,2,6,319,49,207500
30,6,520,520,1,1,4,240,81,68500
70,4,649,1317,1,3,6,250,88,40000
20,6,1228,1228,1,3,6,271,42,149350
20,5,1234,1234,2,3,7,484,1,179900
20,5,1398,1700,1,4,6,447,51,165500
120,5,1561,1561,2,2,6,556,2,277500
60,5,1117,2452,3,4,9,691,2,309000
20,5,1097,1097,1,3,6,672,15,145000
20,6,1297,1297,1,3,5,498,55,153000
20,7,1057,1057,1,3,5,246,57,109000
90,5,0,1152,2,2,6,0,53,82000
20,5,1088,1324,2,3,6,440,41,160000
20,6,1350,1328,1,2,5,308,48,170000
85,7,840,884,1,2,5,504,24,144000
20,6,938,938,1,3,5,308,33,130250
20,6,1150,1150,1,3,6,300,47,141000
120,5,1752,1752,2,2,6,576,5,319900
50,5,1434,2149,1,1,6,670,6,239686
20,5,1656,1656,2,3,7,826,1,249700
190,5,736,1452,2,2,8,0,89,113000
20,7,955,955,1,3,6,386,41,127000
60,6,794,1470,2,3,6,388,10,177000
50,6,816,1176,1,3,6,528,72,114500
90,5,816,816,1,2,5,516,47,110000
20,5,1842,1842,0,0,5,894,25,385000
80,5,384,1360,1,3,6,572,52,130000
20,5,1425,1425,2,3,7,576,44,180500
160,5,970,1739,2,3,7,480,10,172500
60,5,860,1720,2,3,7,565,2,196500
60,5,1410,2945,3,3,10,641,0,438780
20,7,780,780,1,2,4,352,36,124900
20,5,1158,1158,1,3,5,576,2,158000
75,7,530,1111,1,3,6,288,87,101000
120,5,1370,1370,2,2,6,484,1,202500
70,6,576,1710,2,3,9,480,89,140000
60,5,1057,2034,2,3,8,645,12,219500
60,5,1143,2473,2,4,9,852,3,317000
20,5,1947,2207,2,3,7,576,40,180000
20,5,1453,1479,2,3,7,558,4,226000
30,6,747,747,1,2,4,220,65,80000
50,4,1304,2287,2,3,7,667,53,225000
20,6,2223,2223,2,3,8,516,34,244000
20,6,845,845,1,2,4,360,25,129500
60,5,832,1718,2,3,7,427,11,185000
20,7,1086,1086,1,3,6,490,56,144900
50,6,840,1605,2,3,8,379,95,107400
180,5,462,988,1,2,5,297,36,91000
20,7,952,952,1,2,4,283,52,135750
50,5,672,1285,1,2,6,240,60,127000
90,5,1768,1768,2,4,8,0,42,136500
50,6,440,1230,1,2,5,440,99,110000
60,6,896,2142,2,4,8,509,41,193500
120,5,1237,1337,2,2,5,405,8,153500
20,5,1563,1563,2,3,6,758,1,245000
20,5,1065,1065,1,3,6,461,47,126500
80,5,384,1474,2,3,7,400,14,168500
60,5,1288,2417,2,4,9,462,15,260000
60,5,684,1560,2,3,6,400,4,174000
160,5,612,1224,2,2,4,528,0,164500
50,2,1013,1526,1,2,6,0,94,85000
20,5,990,990,1,3,5,0,13,123600
20,5,0,1040,1,2,4,420,56,109900
20,3,1235,1235,1,2,6,480,45,98600
30,7,876,964,1,2,5,432,88,163500
190,6,1214,2291,2,4,9,506,97,133900
60,5,824,1786,2,3,7,684,10,204750
60,8,680,1470,2,3,6,420,16,185000
20,5,1588,1588,2,3,6,472,7,214000
20,5,960,960,1,3,6,432,42,94750
30,5,458,835,1,2,5,366,90,83000
20,5,950,1225,1,3,6,0,51,128950
20,7,1610,1610,2,3,6,480,33,205000
60,5,741,1732,2,3,7,476,25,178000
90,5,0,1535,2,4,8,410,30,118964
20,5,1226,1226,2,3,6,740,1,198900
50,4,1040,1818,1,4,7,240,76,169500
60,5,1053,1992,2,3,9,648,5,250000
30,7,641,1047,1,2,6,273,122,100000
20,5,789,789,1,2,5,250,60,115000
50,7,793,1517,2,3,7,0,88,115000
20,6,1844,1844,2,3,7,546,33,190000
50,4,994,1855,2,4,7,325,52,136900
80,5,384,1430,2,3,7,400,10,180000
60,5,1264,2696,2,4,10,792,0,383970
20,5,1809,2259,2,3,7,450,54,217000
70,8,1028,2320,2,3,9,180,62,259500
160,5,729,1458,2,2,5,440,8,176000
20,5,1092,1092,1,3,6,288,47,139000
20,5,1125,1125,1,2,5,430,1,155000
60,5,1673,3222,3,5,11,594,20,320000
60,5,728,1456,2,3,8,390,1,163990
80,5,938,988,1,1,4,540,37,180000
50,5,732,1123,1,3,4,264,68,100000
20,7,1080,1080,1,3,5,288,50,136000
120,5,1199,1199,2,2,5,530,15,153900
20,5,1362,1586,2,3,7,435,30,181000
190,8,520,754,1,2,5,0,71,84500
120,5,1078,958,2,2,5,440,31,128000
45,7,672,840,1,3,5,0,77,87000
60,5,660,1348,1,3,6,453,40,155000
20,7,1008,1053,1,3,6,750,48,150000
60,6,924,2157,2,4,8,487,40,226000
60,5,992,2054,2,3,7,390,9,244000
20,6,1063,1327,1,3,7,624,48,150750
20,5,1267,1296,2,2,6,471,8,220000
20,6,1461,1721,2,3,7,440,38,180000
20,6,1304,1682,2,3,7,530,38,174000
20,5,1214,1214,2,3,5,318,40,143000
90,5,1907,1959,3,5,9,766,18,171000
60,5,1004,1852,2,3,7,660,9,230000
60,5,928,1764,2,3,7,470,12,231500
20,5,864,864,1,3,5,0,39,115000
20,5,1734,1734,2,3,7,660,1,260000
50,4,910,1385,2,4,6,720,58,166000
20,5,1490,1501,2,3,6,577,10,204000
90,5,1728,1728,2,6,10,504,43,125000
160,5,970,1709,2,3,7,380,2,130000
30,7,715,875,1,2,5,180,78,105000
60,5,884,2035,2,3,8,434,9,222500
20,5,1080,1080,1,3,6,0,4,141000
50,4,896,1344,1,3,7,240,70,115000
20,6,969,969,1,3,5,440,32,122000
20,5,1710,1710,2,2,6,866,1,372402
60,5,825,1993,2,4,8,495,35,190000
20,7,1602,1252,1,1,4,564,48,235000
30,5,1200,1200,1,4,7,312,83,125000
50,5,572,1096,1,2,5,0,84,79000
20,7,0,1040,1,2,5,625,56,109500
60,5,774,1968,2,4,8,680,1,269500
60,5,991,1947,2,3,8,678,6,254900
60,5,1392,2462,2,4,9,576,1,320000
20,6,1232,1232,2,3,6,516,24,162500
60,5,1572,2668,2,3,10,726,5,412500
20,5,1541,1541,2,3,7,532,5,220000
45,6,882,882,1,1,4,0,51,103200
40,7,1149,1616,2,3,5,216,81,152000
190,7,644,1355,2,4,6,0,68,127500
20,5,1617,1867,1,2,7,303,54,190000
60,5,1582,2161,1,3,8,789,0,325624
60,5,840,1720,2,3,7,440,3,183500
20,6,1686,1707,2,2,6,511,25,228000
50,6,720,1382,1,2,7,660,66,128500
20,5,1080,1656,1,3,7,528,50,215000
160,7,1064,1767,2,2,5,504,19,239000
20,5,1362,1362,1,3,6,504,47,163000
20,5,1606,1651,2,3,7,616,22,184000
20,7,1202,2158,2,4,7,576,57,243000
60,5,1151,2060,2,4,8,521,19,211000
50,5,1052,1920,2,4,8,451,48,172500
20,5,2216,2234,2,1,9,1166,1,501837
30,6,968,968,1,2,5,480,84,100000
160,5,756,1525,2,3,5,440,7,177000
70,6,793,1802,1,4,9,216,86,200100
20,6,0,1340,1,3,7,252,50,120000
50,5,1362,2082,2,3,6,484,5,200000
50,8,504,1252,1,3,5,576,98,127000
75,9,1107,3608,2,4,12,840,114,475000
80,5,1188,1217,2,3,6,497,19,173000
50,7,660,1656,2,3,8,180,93,135000
90,5,1086,1224,0,2,6,528,30,153337
120,5,1593,1593,1,0,5,682,7,286000
70,8,853,2727,2,3,10,440,75,315000
60,9,725,1479,1,4,7,484,35,184000
20,5,1431,1431,2,3,6,666,10,192000
160,5,970,1709,2,3,7,380,2,130000
20,7,864,864,1,3,5,352,36,127000
160,6,855,1456,2,3,7,440,33,148500
20,5,1726,1726,2,3,8,786,0,311872
75,4,1360,3112,2,4,8,795,88,235000
75,6,755,2229,1,5,8,0,97,104000
20,5,1713,1713,2,3,7,856,5,274900
20,5,1121,1121,2,2,5,440,7,140000
20,6,1196,1279,2,3,6,473,31,171500
50,6,617,1310,2,2,6,398,82,112000
120,5,848,848,1,1,3,420,4,149000
50,7,720,1284,1,2,5,240,62,110000
20,5,1424,1442,2,3,5,500,19,180500
20,5,1140,1696,1,3,8,349,45,143900
20,5,1100,1100,1,3,6,312,48,141000
60,5,1157,2062,2,3,7,454,19,277000
20,7,1092,1092,1,3,6,504,44,145000
30,6,864,864,1,2,5,0,83,98000
20,5,1212,1212,2,3,6,460,1,186000
60,5,900,1852,2,3,7,644,0,252678
20,5,990,990,1,3,5,576,11,156000
60,7,689,1392,1,3,6,299,33,161750
20,6,1070,1236,1,2,6,447,49,134450
20,5,1436,1436,2,3,8,484,4,210000
70,4,686,1328,1,3,8,210,81,107000
50,9,798,1954,1,3,8,431,69,311500
120,5,1248,1248,2,2,5,438,1,167240
20,5,1498,1498,2,2,5,675,0,204900
60,5,1010,2267,2,4,8,390,7,200000
60,6,713,1552,2,3,6,434,31,179900
20,6,864,864,1,2,4,576,38,97000
20,5,2392,2392,2,3,8,968,6,386250
160,5,630,1302,2,3,6,280,38,112000
60,5,1203,2520,2,4,9,721,12,290000
160,6,483,987,1,2,5,280,38,106000
20,5,912,912,1,3,5,336,43,125000
120,5,1373,1555,2,2,7,430,4,192500
20,6,1194,1194,1,3,6,312,51,148000
60,5,1462,2794,2,4,9,810,14,403000
160,5,483,987,1,2,5,288,34,94500
20,6,894,894,1,3,5,308,34,128200
60,5,860,1960,2,4,8,440,8,216500
160,3,483,987,1,2,5,264,37,89500
20,5,1414,1414,2,3,6,494,6,185500
60,7,996,1744,2,3,7,457,17,194500
20,5,1694,1694,2,3,7,818,0,318000
50,4,735,1487,1,3,7,220,65,113000
20,5,1566,1566,2,3,7,750,2,262500
30,9,686,866,1,2,4,0,62,110500
50,4,540,1440,1,3,6,352,106,79000
160,6,626,1217,1,3,6,288,29,120000
60,5,948,2110,2,3,8,463,16,205000
20,5,1845,1872,2,3,6,604,18,241500
190,8,1020,1928,2,4,9,440,96,137000
20,5,1367,1375,1,2,5,451,52,140000
60,5,840,1668,2,3,8,500,4,180000
50,7,1444,2144,2,4,7,389,49,277000
30,2,728,1306,1,3,6,0,70,76500
120,5,1573,1625,2,2,5,538,1,235000
60,5,798,1640,2,3,6,520,4,173000
80,7,1302,1302,2,3,7,309,43,158000
20,6,1314,1314,1,3,5,294,53,145000
60,5,975,2291,2,4,8,429,7,230000
60,5,864,1728,2,3,7,673,5,207500
20,5,1604,1604,2,3,8,660,3,220000
60,5,963,1792,2,3,7,564,7,231500
20,5,0,882,1,2,4,308,52,97000
80,5,1362,1382,1,3,6,884,47,176000
60,5,1482,2574,2,3,10,868,0,276000
80,7,506,1212,1,3,6,492,29,151000
50,7,926,1316,1,3,6,484,81,130000
30,5,680,764,1,2,4,504,83,73000
20,6,1422,1422,2,3,7,576,27,175500
60,5,802,1511,2,3,8,413,9,185000
75,8,720,2192,2,4,8,240,69,179500
30,6,740,778,1,2,4,924,68,120500
20,7,1143,1113,1,3,6,504,31,148000
60,5,1095,1939,2,3,8,1053,0,266000
20,7,1385,1363,1,2,5,439,54,241500
60,7,1152,2270,2,4,9,671,11,290000
20,6,1240,1632,2,3,6,338,51,139000
20,7,816,816,1,2,5,264,25,124500
50,7,952,1548,2,3,5,672,84,205000
20,5,1560,1560,2,3,7,573,7,201000
20,5,864,864,1,2,4,400,59,141000
20,5,2121,2121,2,3,8,732,1,415298
60,5,1160,2022,2,4,8,505,31,192000
60,6,807,1982,2,3,7,575,18,228500
20,5,1262,1262,2,2,5,572,0,185000
120,5,1314,1314,2,2,6,626,2,207500
20,5,1468,1468,2,3,6,898,1,244600
120,5,1575,1575,2,2,5,529,15,179200
160,5,625,1250,2,2,5,528,1,164700
50,7,912,1734,1,3,7,440,44,159000
20,4,858,858,1,3,5,0,35,88000
20,5,882,900,1,3,5,280,43,122000
70,7,698,1396,1,3,7,384,92,153575
60,5,1079,1919,2,3,8,685,0,233230
190,6,780,1716,2,6,9,0,96,135900
50,4,768,1716,1,3,8,281,60,131000
60,7,795,2263,2,3,9,539,29,235000
20,5,1416,1644,1,3,7,418,56,167000
80,6,1003,1003,1,3,6,588,22,142500
50,5,910,1558,1,4,6,282,57,152000
60,5,975,1950,2,3,7,576,10,239000
60,6,702,1743,1,3,7,539,39,175000
20,8,1092,1152,1,3,6,300,59,158500
190,5,1165,1336,1,2,5,375,53,157000
60,5,1028,2452,2,4,9,683,9,267000
20,5,1541,1541,2,3,6,843,5,205000
20,7,894,894,1,3,5,552,34,149900
75,9,1470,3493,3,3,10,870,128,295000
20,5,2000,2000,2,3,8,888,3,305900
60,5,700,2243,2,4,8,746,17,225000
50,7,319,1406,1,3,6,0,88,89500
30,5,861,861,1,1,4,539,69,82500
20,5,1896,1944,2,3,8,708,3,360000
60,5,697,1501,2,3,6,420,13,165600
20,6,972,972,1,2,5,240,61,132000
190,7,793,1118,1,3,5,410,67,119900
20,5,2136,2036,2,3,8,513,44,375000
70,7,728,1641,1,3,6,546,81,178000
60,5,716,1432,2,3,6,432,5,188500
60,7,845,2353,2,4,10,484,29,260000
60,5,1088,1959,2,3,8,1025,1,270000
60,5,1347,2646,2,4,9,656,16,260000
80,5,1372,1472,2,3,6,588,29,187500
60,5,1249,2596,3,4,9,840,0,342643
60,5,1136,2468,2,4,10,872,3,354000
60,5,1502,2730,2,4,8,576,21,301000
20,8,1162,1163,1,3,6,220,51,126175
80,7,710,2978,2,5,11,564,43,242000
45,6,720,803,1,2,5,360,66,87000
120,5,1719,1719,1,1,6,473,15,324000
20,5,1383,1383,1,3,7,292,46,145250
75,6,844,2134,2,5,10,441,93,214500
70,5,596,1192,1,3,6,189,89,78000
90,4,1728,1728,2,6,10,352,43,119000
20,6,1056,1056,1,3,6,308,49,139000
20,5,3206,1629,2,3,7,880,6,284000
120,5,1358,1358,2,2,6,484,4,207000
60,5,943,1638,2,3,7,472,10,192000
190,6,1499,1786,2,3,7,529,43,228950
20,5,1922,1922,2,3,8,676,2,377426
20,5,1536,1536,2,3,7,532,6,214000
20,7,1208,1621,2,3,8,440,22,202500
20,7,1215,1215,1,3,6,297,51,155000
60,5,967,1908,2,4,9,431,8,202900
20,4,721,841,1,2,4,294,59,82000
90,4,0,1040,2,2,6,400,57,87500
120,5,1684,1684,2,2,6,564,3,266000
160,3,536,1112,1,3,4,336,34,85000
50,5,972,1577,1,3,6,312,67,140200
20,8,958,958,1,2,5,301,47,151500
20,5,1478,1478,2,3,6,498,49,157500
160,5,764,1626,2,2,6,474,5,154000
60,5,1848,2728,2,4,10,706,1,437154
120,5,1869,1869,2,2,6,617,0,318061
120,5,1453,1453,1,2,6,445,20,190000
50,6,616,1111,1,3,5,200,67,95000
30,8,624,720,1,2,5,484,82,105900
50,5,940,1595,1,2,6,240,66,140000
20,5,1200,1200,2,3,6,521,12,177500
20,6,1158,1167,2,3,6,400,17,173000
120,5,1142,1142,1,3,6,528,31,134000
80,4,1062,1352,1,3,6,288,48,130000
60,5,1086,1924,2,3,7,592,8,280000
85,6,888,912,1,2,5,470,29,156000
50,5,883,1505,1,3,8,240,68,145000
85,5,0,1922,3,4,7,672,6,198500
160,8,483,987,1,2,5,264,37,118000
60,5,796,1574,2,3,6,566,30,190000
70,7,672,1344,1,3,6,468,89,147000
20,5,1394,1394,1,3,6,514,46,159000
80,5,1099,1431,1,3,6,296,46,165000
20,6,1268,1268,1,2,7,244,56,132000
20,7,1063,1287,1,3,7,576,51,162000
60,5,953,1664,2,3,7,460,6,172400
50,4,0,1588,2,4,7,680,49,134432
120,5,744,752,1,2,4,264,26,125000
20,6,608,1319,1,3,5,270,56,123000
60,5,847,1928,2,4,8,434,4,219500
30,1,683,904,0,1,4,0,87,61000
85,5,870,914,1,2,5,576,10,148000
60,5,1580,2466,3,4,8,610,3,340000
20,2,1856,1856,1,1,8,834,0,394432
60,5,982,1800,2,3,7,463,9,179000
50,6,1026,1691,2,3,6,308,86,127000
20,5,1293,1301,2,2,5,572,0,187750
60,5,939,1797,2,3,8,639,1,213500
45,3,784,784,1,2,5,360,81,76000
60,5,1580,1953,2,3,9,501,15,240000
120,5,1256,1269,2,2,6,430,6,192000
50,3,658,1184,1,5,8,0,96,81000
80,6,1041,1125,1,3,6,352,33,125000
20,5,1468,1479,2,3,6,577,9,191000
60,5,1682,2332,2,3,9,846,1,426000
50,8,861,1367,1,4,7,384,108,119000
60,5,804,1961,2,3,7,560,8,215000
20,7,0,882,1,3,5,294,48,106500
30,5,788,788,1,2,4,0,65,100000
50,6,735,1034,1,2,5,240,67,109000
20,6,1144,1144,1,3,6,596,54,129000
20,5,894,894,1,2,6,600,37,123000
60,5,864,1812,2,4,8,264,45,169500
30,2,961,1077,1,2,6,338,87,67000
60,5,1092,1550,2,2,7,438,3,241000
120,5,1260,1288,1,1,4,500,12,245500
20,5,1310,1310,2,3,6,400,1,164990
30,8,672,672,1,2,4,240,68,108000
60,5,1141,2263,2,4,10,420,8,258000
60,5,806,1572,2,3,7,373,12,168000
20,4,1281,1620,2,3,8,490,33,150000
50,5,1064,1639,1,3,6,240,72,115000
70,7,840,1680,2,4,8,308,93,177000
60,5,1063,2172,2,3,9,947,1,280000
60,5,1034,2078,2,3,8,836,1,339750
20,3,1276,1276,1,3,5,350,51,60000
190,5,1056,1056,1,3,5,572,51,145000
20,5,1470,1478,2,2,7,484,1,222000
30,6,1008,1028,1,2,5,360,83,115000
60,5,1080,2097,2,3,9,678,15,228000
20,5,1340,1340,2,3,6,396,0,181134
60,7,672,1400,1,3,6,440,28,149500
70,6,1370,2624,2,4,10,864,89,239000
50,6,756,1134,1,3,7,240,67,126000
20,6,1056,1056,1,3,6,304,42,142000
90,5,1344,1344,2,2,8,784,11,206300
20,7,1602,1602,2,3,8,529,32,215000
20,5,988,988,1,2,4,520,54,113000
60,5,1470,2630,2,4,8,696,10,315000
20,5,1196,1196,1,2,6,297,52,139000
60,8,651,1389,1,3,6,240,63,135000
80,5,1518,1644,2,2,5,569,20,275000
20,6,907,907,1,3,5,352,51,109008
20,5,1208,1208,2,2,6,628,0,195400
20,5,1392,1412,2,3,6,576,21,175000
160,5,483,987,1,2,4,264,37,85400
50,7,901,1198,1,4,7,0,88,79900
160,5,765,1365,1,2,6,440,36,122500
60,5,926,1604,2,3,7,470,11,181000
180,7,630,630,1,1,3,0,36,81000
60,6,799,1661,2,3,6,550,13,212000
50,8,648,1118,1,2,6,440,86,116000
45,7,884,904,1,2,4,180,83,119000
30,6,440,694,1,2,4,352,94,90350
50,8,684,1196,1,3,7,528,89,110000
20,5,3094,2402,2,2,10,672,1,555000
90,4,1440,1440,2,4,8,0,53,118000
50,7,1078,1573,2,3,8,360,78,162900
120,5,1258,1258,2,2,6,648,1,172500
60,5,915,1908,2,4,8,493,14,210000
20,5,1436,1689,1,3,7,480,53,127500
20,6,1517,1888,2,2,6,578,44,190000
60,5,930,1886,2,4,10,431,8,199900
50,6,780,1376,2,3,7,198,69,119500
50,7,649,1183,1,2,6,308,59,120000
30,8,813,813,1,2,5,270,76,110000
20,5,1533,1533,2,2,5,576,31,280000
60,5,872,1756,2,3,7,422,11,204000
60,5,768,1590,2,3,6,676,1,210000
90,5,1728,1728,2,4,8,560,30,188000
20,6,1242,1242,1,3,6,528,34,175500
70,5,624,1344,1,4,7,513,92,98000
20,6,1364,1663,1,2,6,529,54,256000
70,7,588,1666,1,3,7,228,83,161000
50,4,709,1203,1,3,5,352,59,110000
60,5,832,1935,2,3,8,552,0,263435
70,9,560,1135,1,3,6,576,73,155000
20,5,864,864,1,3,5,360,44,62383
70,7,715,1660,1,3,6,240,74,188700
20,5,1040,1040,2,3,5,0,31,124000
120,5,1375,1414,2,2,6,398,2,178740
20,5,1277,1277,1,2,5,526,37,167000
70,7,728,1644,1,3,7,312,65,146500
20,5,1626,1634,2,3,7,866,1,250000
60,5,832,1710,2,3,7,506,15,187000
120,5,1488,1502,1,1,4,528,25,212000
60,6,808,1969,2,3,8,534,30,190000
180,5,547,1072,1,2,5,525,3,148000
20,5,1976,1976,2,2,7,908,1,440000
120,5,1494,1652,2,2,6,499,7,251000
20,6,970,970,1,2,5,624,44,132500
20,5,1478,1493,2,3,7,508,11,208900
60,5,2153,2643,2,3,9,694,1,380000
20,5,1705,1718,2,3,7,826,2,297000
30,7,907,1131,1,2,7,672,70,89471
20,5,1833,1850,2,3,8,772,2,326000
20,5,1792,1792,2,2,6,874,3,374000
70,8,910,1826,1,4,7,164,94,155000
120,5,1216,1216,2,2,5,402,8,164000
