MSSubClass,LotArea,OverallCond,Exterior1st,TotalBsmtSF,CentralAir,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageArea,Neighborhood,Age,SalePrice
60,8450,5,VinylSd,856,Y,1710,2,1,3,1,8,548,CollgCr,5,208500
20,9600,8,MetalSd,1262,Y,1262,2,0,3,1,6,460,Veenker,31,181500
60,11250,5,VinylSd,920,Y,1786,2,1,3,1,6,608,CollgCr,7,223500
70,9550,5,Wd Sdng,756,Y,1717,1,0,3,1,7,642,Crawfor,91,140000
60,14260,5,VinylSd,1145,Y,2198,2,1,4,1,9,836,NoRidge,8,250000
50,14115,5,VinylSd,796,Y,1362,1,1,1,1,5,480,Mitchel,16,143000
20,10084,5,VinylSd,1686,Y,1694,2,0,3,1,7,636,Somerst,3,307000
60,10382,6,HdBoard,1107,Y,2090,2,1,3,1,7,484,NWAmes,36,200000
50,6120,5,BrkFace,952,Y,1774,2,0,2,2,8,468,OldTown,77,129900
190,7420,6,MetalSd,991,Y,1077,1,0,2,2,5,205,BrkSide,69,118000
20,11200,5,HdBoard,1040,Y,1040,1,0,3,1,5,384,Sawyer,43,129500
60,11924,5,WdShing,1175,Y,2324,3,0,4,1,11,736,NridgHt,1,345000
20,12968,6,HdBoard,912,Y,912,1,0,2,1,4,352,Sawyer,46,144000
20,10652,5,VinylSd,1494,Y,1494,2,0,3,1,7,840,CollgCr,1,279500
20,10920,5,MetalSd,1253,Y,1253,1,1,2,1,5,352,NAmes,48,157000
45,6120,8,Wd Sdng,832,Y,854,1,0,2,1,5,576,BrkSide,78,132000
20,11241,7,Wd Sdng,1004,Y,1004,1,0,2,1,5,480,NAmes,40,149000
90,10791,5,MetalSd,0,Y,1296,2,0,2,2,6,516,Sawyer,39,90000
20,13695,5,VinylSd,1114,Y,1114,1,1,3,1,6,576,SawyerW,4,159000
20,7560,6,BrkFace,1029,Y,1339,1,0,3,1,6,294,NAmes,51,139000
60,14215,5,VinylSd,1158,Y,2376,3,1,4,1,9,853,NridgHt,1,325300
45,7449,7,Wd Sdng,637,Y,1108,1,0,3,1,6,280,IDOTRR,77,139400
20,9742,5,VinylSd,1777,Y,1795,2,0,3,1,7,534,CollgCr,6,230000
120,4224,7,CemntBd,1040,Y,1060,1,0,3,1,6,572,MeadowV,31,129900
20,8246,8,Plywood,1060,Y,1060,1,0,3,1,6,270,Sawyer,42,154000
20,14230,5,VinylSd,1566,Y,1600,2,0,3,1,7,890,NridgHt,2,256300
20,7200,7,Wd Sdng,900,Y,900,1,0,3,1,5,576,NAmes,59,134800
20,11478,5,VinylSd,1704,Y,1704,2,0,3,1,7,772,NridgHt,3,306000
20,16321,6,MetalSd,1484,Y,1600,1,0,2,1,6,319,NAmes,49,207500
30,6324,6,MetalSd,520,N,520,1,0,1,1,4,240,BrkSide,81,68500
70,8500,4,BrkFace,649,N,1317,1,0,3,1,6,250,IDOTRR,88,40000
20,8544,6,HdBoard,1228,Y,1228,1,1,3,1,6,271,Sawyer,42,149350
20,11049,5,VinylSd,1234,Y,1234,2,0,3,1,7,484,CollgCr,1,179900
20,10552,5,BrkFace,1398,Y,1700,1,1,4,1,6,447,NAmes,51,165500
120,7313,5,MetalSd,1561,Y,1561,2,0,2,1,6,556,NridgHt,2,277500
60,13418,5,VinylSd,1117,Y,2452,3,1,4,1,9,691,NridgHt,2,309000
20,10859,5,VinylSd,1097,Y,1097,1,1,3,1,6,672,CollgCr,15,145000
20,8532,6,Wd Sdng,1297,Y,1297,1,0,3,1,5,498,NAmes,55,153000
20,7922,7,VinylSd,1057,Y,1057,1,0,3,1,5,246,NAmes,57,109000
90,6040,5,AsbShng,0,N,1152,2,0,2,2,6,0,Edwards,53,82000
20,8658,5,Wd Sdng,1088,Y,1324,2,0,3,1,6,440,NAmes,41,160000
20,16905,6,VinylSd,1350,Y,1328,1,1,2,1,5,308,Timber,48,170000
85,9180,7,HdBoard,840,Y,884,1,0,2,1,5,504,SawyerW,24,144000
20,9200,6,VinylSd,938,Y,938,1,0,3,1,5,308,CollgCr,33,130250
20,7945,6,BrkFace,1150,Y,1150,1,0,3,1,6,300,NAmes,47,141000
120,7658,5,MetalSd,1752,Y,1752,2,0,2,1,6,576,NridgHt,5,319900
50,12822,5,VinylSd,1434,Y,2149,1,1,1,1,6,670,Mitchel,6,239686
20,11096,5,VinylSd,1656,Y,1656,2,0,3,1,7,826,Somerst,1,249700
190,4456,5,MetalSd,736,Y,1452,2,0,2,3,8,0,OldTown,89,113000
20,7742,7,HdBoard,955,Y,955,1,0,3,1,6,386,Sawyer,41,127000
60,13869,6,VinylSd,794,Y,1470,2,0,3,1,6,388,Gilbert,10,177000
50,6240,6,Wd Sdng,816,Y,1176,1,0,3,1,6,528,BrkSide,72,114500
90,8472,5,Wd Sdng,816,N,816,1,0,2,1,5,516,IDOTRR,47,110000
20,50271,5,WdShing,1842,Y,1842,0,1,0,1,5,894,Veenker,25,385000
80,7134,5,MetalSd,384,Y,1360,1,0,3,1,6,572,NAmes,52,130000
20,10175,5,HdBoard,1425,Y,1425,2,0,3,1,7,576,NAmes,44,180500
160,2645,5,MetalSd,970,Y,1739,2,1,3,1,7,480,Somerst,10,172500
60,11645,5,VinylSd,860,Y,1720,2,1,3,1,7,565,CollgCr,2,196500
60,13682,5,VinylSd,1410,Y,2945,3,1,3,1,10,641,StoneBr,0,438780
20,7200,7,HdBoard,780,Y,780,1,0,2,1,4,352,CollgCr,36,124900
20,13072,5,VinylSd,1158,Y,1158,1,1,3,1,5,576,SawyerW,2,158000
75,7200,7,MetalSd,530,N,1111,1,0,3,1,6,288,IDOTRR,87,101000
120,6442,5,VinylSd,1370,Y,1370,2,0,2,1,6,484,NridgHt,1,202500
70,10300,6,Stucco,576,Y,1710,2,0,3,1,9,480,OldTown,89,140000
60,9375,5,VinylSd,1057,Y,2034,2,1,3,1,8,645,CollgCr,12,219500
60,9591,5,VinylSd,1143,Y,2473,2,1,4,1,9,852,NridgHt,3,317000
20,19900,5,Plywood,1947,Y,2207,2,0,3,1,7,576,NAmes,40,180000
20,10665,5,VinylSd,1453,Y,1479,2,0,3,1,7,558,CollgCr,4,226000
30,4608,6,MetalSd,747,Y,747,1,0,2,1,4,220,OldTown,65,80000
50,15593,4,BrkFace,1304,Y,2287,2,0,3,1,7,667,ClearCr,53,225000
20,13651,6,Plywood,2223,Y,2223,2,0,3,1,8,516,NAmes,34,244000
20,7599,6,HdBoard,845,Y,845,1,0,2,1,4,360,Mitchel,25,129500
60,10141,5,VinylSd,832,Y,1718,2,1,3,1,7,427,Gilbert,11,185000
20,10200,7,Wd Sdng,1086,Y,1086,1,0,3,1,6,490,NAmes,56,144900
50,5790,6,VinylSd,840,N,1605,2,0,3,2,8,379,OldTown,95,107400
180,1596,5,CemntBd,462,Y,988,1,0,2,1,5,297,MeadowV,36,91000
20,8475,7,VinylSd,952,Y,952,1,0,2,1,4,283,NAmes,52,135750
50,8635,5,Wd Sdng,672,Y,1285,1,0,2,1,6,240,BrkSide,60,127000
90,10778,5,HdBoard,1768,N,1768,2,0,4,2,8,0,Sawyer,42,136500
50,10440,6,Wd Sdng,440,Y,1230,1,1,2,1,5,440,OldTown,99,110000
60,13000,6,VinylSd,896,Y,2142,2,1,4,1,8,509,NAmes,41,193500
120,4500,5,VinylSd,1237,Y,1337,2,0,2,1,5,405,Mitchel,8,153500
20,10206,5,VinylSd,1563,Y,1563,2,0,3,1,6,758,Somerst,1,245000
20,8892,5,MetalSd,1065,Y,1065,1,1,3,1,6,461,NAmes,47,126500
80,8530,5,HdBoard,384,Y,1474,2,1,3,1,7,400,Gilbert,14,168500
60,16059,5,HdBoard,1288,Y,2417,2,1,4,1,9,462,NoRidge,15,260000
60,11911,5,VinylSd,684,Y,1560,2,1,3,1,6,400,Gilbert,4,174000
160,3951,5,VinylSd,612,Y,1224,2,1,2,1,4,528,Somerst,0,164500
50,8470,2,Plywood,1013,N,1526,1,0,2,1,6,0,IDOTRR,94,85000
20,8070,5,VinylSd,990,Y,990,1,0,3,1,5,0,CollgCr,13,123600
20,7200,5,BrkFace,0,Y,1040,1,0,2,1,4,420,NAmes,56,109900
20,8500,3,HdBoard,1235,Y,1235,1,0,2,1,6,480,NAmes,45,98600
30,13360,7,Wd Sdng,876,Y,964,1,0,2,1,5,432,Crawfor,88,163500
190,7200,6,MetalSd,1214,N,2291,2,0,4,2,9,506,OldTown,97,133900
60,9337,5,VinylSd,824,Y,1786,2,1,3,1,7,684,CollgCr,10,204750
60,9765,8,VinylSd,680,Y,1470,2,1,3,1,6,420,Gilbert,16,185000
20,10264,5,VinylSd,1588,Y,1588,2,0,3,1,6,472,CollgCr,7,214000
20,10921,5,HdBoard,960,Y,960,1,0,3,1,6,432,Edwards,42,94750
30,10625,5,Wd Sdng,458,N,835,1,0,2,1,5,366,Edwards,90,83000
20,9320,5,Plywood,950,Y,1225,1,1,3,1,6,0,NAmes,51,128950
20,10603,7,Plywood,1610,Y,1610,2,0,3,1,6,480,NWAmes,33,205000
60,9206,5,HdBoard,741,Y,1732,2,1,3,1,7,476,SawyerW,25,178000
90,7018,5,HdBoard,0,Y,1535,2,0,4,2,8,410,SawyerW,30,118964
20,10402,5,VinylSd,1226,Y,1226,2,0,3,1,6,740,CollgCr,1,198900
50,7758,4,Stucco,1040,Y,1818,1,1,4,1,7,240,IDOTRR,76,169500
60,9375,5,VinylSd,1053,Y,1992,2,1,3,1,9,648,Somerst,5,250000
30,10800,7,VinylSd,641,Y,1047,1,0,2,1,6,273,OldTown,122,100000
20,6000,5,VinylSd,789,Y,789,1,0,2,1,5,250,OldTown,60,115000
50,8500,7,CemntBd,793,N,1517,2,0,3,1,7,0,IDOTRR,88,115000
20,11751,6,Plywood,1844,Y,1844,2,0,3,1,7,546,NWAmes,33,190000
50,9525,4,Wd Sdng,994,Y,1855,2,0,4,1,7,325,Edwards,52,136900
80,7750,5,VinylSd,384,Y,1430,2,1,3,1,7,400,Gilbert,10,180000
60,9965,5,VinylSd,1264,Y,2696,2,1,4,1,10,792,CollgCr,0,383970
20,21000,5,Wd Sdng,1809,Y,2259,2,0,3,1,7,450,Crawfor,54,217000
70,7259,8,Wd Sdng,1028,Y,2320,2,1,3,1,9,180,Crawfor,62,259500
160,3230,5,MetalSd,729,Y,1458,2,1,2,1,5,440,Somerst,8,176000
20,11616,5,Wd Sdng,1092,Y,1092,1,0,3,1,6,288,Sawyer,47,139000
20,8536,5,VinylSd,1125,Y,1125,1,1,2,1,5,430,Edwards,1,155000
60,12376,5,Plywood,1673,Y,3222,3,0,5,1,11,594,SawyerW,20,320000
60,8461,5,VinylSd,728,Y,1456,2,1,3,1,8,390,CollgCr,1,163990
80,21453,5,Plywood,938,Y,988,1,0,1,1,4,540,ClearCr,37,180000
50,6060,5,AsbShng,732,Y,1123,1,0,3,1,4,264,IDOTRR,68,100000
20,9464,7,MetalSd,1080,Y,1080,1,0,3,1,5,288,NAmes,50,136000
120,7892,5,Plywood,1199,Y,1199,2,0,2,1,5,530,SawyerW,15,153900
20,17043,5,HdBoard,1362,Y,1586,2,0,3,1,7,435,NWAmes,30,181000
190,6780,8,Wd Sdng,520,N,754,1,0,2,1,5,0,IDOTRR,71,84500
120,4928,5,Plywood,1078,Y,958,2,0,2,1,5,440,NPkVill,31,128000
45,4388,7,WdShing,672,Y,840,1,0,3,1,5,0,OldTown,77,87000
60,7590,5,VinylSd,660,Y,1348,1,1,3,1,6,453,NAmes,40,155000
20,8973,7,Plywood,1008,Y,1053,1,1,3,1,6,750,NAmes,48,150000
60,14200,6,MetalSd,924,Y,2157,2,1,4,1,8,487,NAmes,40,226000
60,12224,5,VinylSd,992,Y,2054,2,1,3,1,7,390,Gilbert,9,244000
20,7388,6,MetalSd,1063,Y,1327,1,0,3,1,7,624,NAmes,48,150750
20,6853,5,VinylSd,1267,Y,1296,2,0,2,1,6,471,Timber,8,220000
20,10335,6,Plywood,1461,Y,1721,2,1,3,1,7,440,Sawyer,38,180000
20,10400,6,Plywood,1304,Y,1682,2,0,3,1,7,530,NWAmes,38,174000
20,10355,5,MetalSd,1214,Y,1214,2,0,3,1,5,318,NAmes,40,143000
90,11070,5,VinylSd,1907,Y,1959,3,0,5,2,9,766,Mitchel,18,171000
60,9066,5,VinylSd,1004,Y,1852,2,1,3,1,7,660,CollgCr,9,230000
60,15426,5,VinylSd,928,Y,1764,2,1,3,1,7,470,CollgCr,12,231500
20,10500,5,HdBoard,864,Y,864,1,0,3,1,5,0,NAmes,39,115000
20,11645,5,VinylSd,1734,Y,1734,2,0,3,1,7,660,CollgCr,1,260000
50,8520,4,BrkFace,910,Y,1385,2,0,4,1,6,720,NAmes,58,166000
20,10335,5,VinylSd,1490,Y,1501,2,0,3,1,6,577,CollgCr,10,204000
90,9100,5,HdBoard,1728,Y,1728,2,0,6,2,10,504,Sawyer,43,125000
160,2522,5,VinylSd,970,Y,1709,2,0,3,1,7,380,Edwards,2,130000
30,6120,7,Wd Sdng,715,Y,875,1,0,2,1,5,180,BrkSide,78,105000
60,9505,5,VinylSd,884,Y,2035,2,1,3,1,8,434,Gilbert,9,222500
20,7500,5,VinylSd,1080,Y,1080,1,0,3,1,6,0,SawyerW,4,141000
50,6240,4,MetalSd,896,Y,1344,1,0,3,1,7,240,BrkSide,70,115000
20,10356,6,HdBoard,969,Y,969,1,1,3,1,5,440,CollgCr,32,122000
20,13891,5,VinylSd,1710,Y,1710,2,0,2,1,6,866,NridgHt,1,372402
60,14803,5,HdBoard,825,Y,1993,2,1,4,1,8,495,NWAmes,35,190000
20,13500,7,BrkFace,1602,Y,1252,1,0,1,1,4,564,ClearCr,48,235000
30,11340,5,Wd Sdng,1200,Y,1200,1,0,4,1,7,312,OldTown,83,125000
50,9600,5,Wd Sdng,572,N,1096,1,0,2,1,5,0,Edwards,84,79000
20,7200,7,Wd Sdng,0,Y,1040,1,0,2,1,5,625,NAmes,56,109500
60,12003,5,VinylSd,774,Y,1968,2,1,4,1,8,680,Timber,1,269500
60,12552,5,VinylSd,991,Y,1947,2,1,3,1,8,678,Somerst,6,254900
60,19378,5,VinylSd,1392,Y,2462,2,1,4,1,9,576,Gilbert,1,320000
20,11120,6,Plywood,1232,Y,1232,2,0,3,1,6,516,Veenker,24,162500
60,13688,5,VinylSd,1572,Y,2668,2,1,3,1,10,726,NridgHt,5,412500
20,12182,5,VinylSd,1541,Y,1541,2,0,3,1,7,532,NridgHt,5,220000
45,5500,6,MetalSd,882,Y,882,1,0,1,1,4,0,OldTown,51,103200
40,5400,7,MetalSd,1149,Y,1616,2,0,3,1,5,216,OldTown,81,152000
190,10106,7,Wd Sdng,644,Y,1355,2,0,4,2,6,0,Edwards,68,127500
20,10708,5,Wd Sdng,1617,Y,1867,1,0,2,1,7,303,ClearCr,54,190000
60,10562,5,VinylSd,1582,Y,2161,1,1,3,1,8,789,NridgHt,0,325624
60,8244,5,VinylSd,840,Y,1720,2,1,3,1,7,440,Gilbert,3,183500
20,16669,6,Plywood,1686,Y,1707,2,1,2,1,6,511,Timber,25,228000
50,12358,6,MetalSd,720,Y,1382,1,1,2,1,7,660,OldTown,66,128500
20,31770,5,BrkFace,1080,Y,1656,1,0,3,1,7,528,NAmes,50,215000
160,5306,7,HdBoard,1064,Y,1767,2,0,2,1,5,504,StoneBr,19,239000
20,10197,5,WdShing,1362,Y,1362,1,1,3,1,6,504,NAmes,47,163000
20,12416,5,VinylSd,1606,Y,1651,2,0,3,1,7,616,Timber,22,184000
20,12615,7,WdShing,1202,Y,2158,2,0,4,1,7,576,Edwards,57,243000
60,10029,5,Plywood,1151,Y,2060,2,1,4,1,8,521,ClearCr,19,211000
50,13650,5,MetalSd,1052,Y,1920,2,0,4,1,8,451,Sawyer,48,172500
20,17423,5,VinylSd,2216,Y,2234,2,0,1,1,9,1166,StoneBr,1,501837
30,8520,6,Wd Sdng,968,Y,968,1,0,2,1,5,480,OldTown,84,100000
160,2117,5,MetalSd,756,Y,1525,2,1,3,1,5,440,Somerst,7,177000
70,7588,6,Stucco,793,Y,1802,1,1,4,1,9,216,Crawfor,86,200100
20,9060,6,Wd Sdng,0,Y,1340,1,0,3,1,7,252,Edwards,50,120000
50,11426,5,VinylSd,1362,Y,2082,2,1,3,1,6,484,OldTown,5,200000
50,7438,8,AsbShng,504,Y,1252,1,0,3,1,5,576,BrkSide,98,127000
75,22950,9,Wd Sdng,1107,Y,3608,2,1,4,1,12,840,OldTown,114,475000
80,9947,5,HdBoard,1188,Y,1217,2,0,3,1,6,497,Mitchel,19,173000
50,10410,7,HdBoard,660,Y,1656,2,1,3,1,8,180,OldTown,93,135000
90,7018,5,Plywood,1086,Y,1224,0,2,2,2,6,528,SawyerW,30,153337
120,4923,5,CemntBd,1593,Y,1593,1,1,0,1,5,682,StoneBr,7,286000
70,10570,8,BrkFace,853,Y,2727,2,1,3,1,10,440,Crawfor,75,315000
60,7472,9,HdBoard,725,Y,1479,1,1,4,1,7,484,NAmes,35,184000
20,9017,5,VinylSd,1431,Y,1431,2,0,3,1,6,666,CollgCr,10,192000
160,2522,5,VinylSd,970,Y,1709,2,0,3,1,7,380,Edwards,2,130000
20,7180,7,HdBoard,864,Y,864,1,0,3,1,5,352,CollgCr,36,127000
160,2280,6,Plywood,855,Y,1456,2,1,3,1,7,440,NPkVill,33,148500
20,9416,5,CemntBd,1726,Y,1726,2,0,3,1,8,786,Somerst,0,311872
75,25419,4,Stucco,1360,Y,3112,2,0,4,1,8,795,NAmes,88,235000
75,5520,6,Wd Sdng,755,Y,2229,1,0,5,1,8,0,OldTown,97,104000
20,9591,5,VinylSd,1713,Y,1713,2,0,3,1,7,856,NridgHt,5,274900
20,8546,5,VinylSd,1121,Y,1121,2,0,2,1,5,440,Edwards,7,140000
20,10125,6,Plywood,1196,Y,1279,2,0,3,1,6,473,Mitchel,31,171500
50,7000,6,MetalSd,617,Y,1310,2,0,2,1,6,398,OldTown,82,112000
120,4438,5,VinylSd,848,Y,848,1,0,1,1,3,420,CollgCr,4,149000
50,3500,7,AsbShng,720,Y,1284,1,1,2,1,5,240,OldTown,62,110000
20,11851,5,HdBoard,1424,Y,1442,2,0,3,1,5,500,Gilbert,19,180500
20,13673,5,HdBoard,1140,Y,1696,1,1,3,1,8,349,Sawyer,45,143900
20,12493,5,Wd Sdng,1100,Y,1100,1,0,3,1,6,312,NAmes,48,141000
60,14364,5,Plywood,1157,Y,2062,2,1,3,1,7,454,SawyerW,19,277000
20,8250,7,HdBoard,1092,Y,1092,1,0,3,1,6,504,NAmes,44,145000
30,5604,6,Stucco,864,N,864,1,0,2,1,5,0,Edwards,83,98000
20,10420,5,VinylSd,1212,Y,1212,2,0,3,1,6,460,Edwards,1,186000
60,8640,5,VinylSd,900,Y,1852,2,1,3,1,7,644,Somerst,0,252678
20,13568,5,VinylSd,990,Y,990,1,0,3,1,5,576,CollgCr,11,156000
60,10900,7,HdBoard,689,Y,1392,1,1,3,1,6,299,CollgCr,33,161750
20,10011,6,HdBoard,1070,Y,1236,1,0,2,1,6,447,NAmes,49,134450
20,8450,5,VinylSd,1436,Y,1436,2,0,3,1,8,484,CollgCr,4,210000
70,9906,4,MetalSd,686,N,1328,1,0,3,1,8,210,OldTown,81,107000
50,15660,9,VinylSd,798,Y,1954,1,1,3,1,8,431,Crawfor,69,311500
120,3010,5,VinylSd,1248,Y,1248,2,0,2,1,5,438,Blmngtn,1,167240
20,8990,5,VinylSd,1498,Y,1498,2,0,2,1,5,675,CollgCr,0,204900
60,8068,5,VinylSd,1010,Y,2267,2,1,4,1,8,390,Gilbert,7,200000
60,11475,6,VinylSd,713,Y,1552,2,1,3,1,6,434,NWAmes,31,179900
20,10500,6,HdBoard,864,Y,864,1,0,2,1,4,576,NAmes,38,97000
20,13472,5,VinylSd,2392,Y,2392,2,0,3,1,8,968,NridgHt,6,386250
160,1680,5,HdBoard,630,Y,1302,2,1,3,1,6,280,BrDale,38,112000
60,9950,5,VinylSd,1203,Y,2520,2,1,4,1,9,721,NoRidge,12,290000
160,1869,6,HdBoard,483,Y,987,1,1,2,1,5,280,BrDale,38,106000
20,8521,5,HdBoard,912,Y,912,1,0,3,1,5,336,Sawyer,43,125000
120,3182,5,VinylSd,1373,Y,1555,2,0,2,1,7,430,Blmngtn,4,192500
20,8760,6,MetalSd,1194,Y,1194,1,0,3,1,6,312,NAmes,51,148000
60,15138,5,VinylSd,1462,Y,2794,2,1,4,1,9,810,NoRidge,14,403000
160,1680,5,HdBoard,483,Y,987,1,1,2,1,5,288,BrDale,34,94500
20,10650,6,HdBoard,894,Y,894,1,0,3,1,5,308,CollgCr,34,128200
60,7851,5,VinylSd,860,Y,1960,2,1,4,1,8,440,Gilbert,8,216500
160,1680,3,HdBoard,483,Y,987,1,1,2,1,5,264,BrDale,37,89500
20,8773,5,VinylSd,1414,Y,1414,2,0,3,1,6,494,CollgCr,6,185500
60,9453,7,HdBoard,996,Y,1744,2,1,3,1,7,457,SawyerW,17,194500
20,12030,5,VinylSd,1694,Y,1694,2,0,3,1,7,818,NridgHt,0,318000
50,8741,4,VinylSd,735,Y,1487,1,1,3,1,7,220,Edwards,65,113000
20,9000,5,VinylSd,1566,Y,1566,2,0,3,1,7,750,Somerst,2,262500
30,3880,9,VinylSd,686,Y,866,1,0,2,1,4,0,OldTown,62,110500
50,5000,4,Wd Sdng,540,N,1440,1,0,3,1,6,352,OldTown,106,79000
160,10762,6,Plywood,626,Y,1217,1,1,3,1,6,288,SawyerW,29,120000
60,8880,5,VinylSd,948,Y,2110,2,1,3,1,8,463,SawyerW,16,205000
20,10400,5,Wd Sdng,1845,Y,1872,2,0,3,1,6,604,NWAmes,18,241500
190,9142,8,AsbShng,1020,N,1928,2,0,4,2,9,440,OldTown,96,137000
20,11310,5,Wd Sdng,1367,Y,1375,1,0,2,1,5,451,NAmes,52,140000
60,11317,5,VinylSd,840,Y,1668,2,1,3,1,8,500,CollgCr,4,180000
50,159000,7,Wd Sdng,1444,Y,2144,2,0,4,1,7,389,ClearCr,49,277000
30,5350,2,Wd Sdng,728,Y,1306,1,0,3,1,6,0,BrkSide,70,76500
120,4750,5,VinylSd,1573,Y,1625,2,0,2,1,5,538,Crawfor,1,235000
60,8366,5,VinylSd,798,Y,1640,2,1,3,1,6,520,SawyerW,4,173000
80,9350,7,HdBoard,1302,Y,1302,2,0,3,1,7,309,NAmes,43,158000
20,8400,6,MetalSd,1314,Y,1314,1,0,3,1,5,294,NAmes,53,145000
60,8738,5,VinylSd,975,Y,2291,2,1,4,1,8,429,Gilbert,7,230000
60,8791,5,VinylSd,864,Y,1728,2,1,3,1,7,673,Somerst,5,207500
20,8814,5,VinylSd,1604,Y,1604,2,1,3,1,8,660,CollgCr,3,220000
60,12435,5,VinylSd,963,Y,1792,2,1,3,1,7,564,CollgCr,7,231500
20,12702,5,BrkFace,0,Y,882,1,0,2,1,4,308,OldTown,52,97000
80,19296,5,Wd Sdng,1362,Y,1382,1,0,3,1,6,884,NAmes,47,176000
60,9588,5,CemntBd,1482,Y,2574,2,1,3,1,10,868,CollgCr,0,276000
80,8471,7,HdBoard,506,Y,1212,1,0,3,1,6,492,Sawyer,29,151000
50,5500,7,Wd Sdng,926,Y,1316,1,0,3,1,6,484,OldTown,81,130000
30,5232,5,Wd Sdng,680,N,764,1,0,2,1,4,504,OldTown,83,73000
20,12090,6,MetalSd,1422,Y,1422,2,0,3,1,7,576,NWAmes,27,175500
60,11207,5,VinylSd,802,Y,1511,2,1,3,1,8,413,Gilbert,9,185000
75,8400,8,Wd Sdng,720,Y,2192,2,1,4,1,8,240,SWISU,69,179500
30,6900,6,VinylSd,740,Y,778,1,0,2,1,4,924,IDOTRR,68,120500
20,7917,7,HdBoard,1143,Y,1113,1,1,3,1,6,504,Edwards,31,148000
60,10728,5,VinylSd,1095,Y,1939,2,1,3,1,8,1053,Somerst,0,266000
20,39104,7,Plywood,1385,Y,1363,1,0,2,1,5,439,ClearCr,54,241500
60,11764,7,VinylSd,1152,Y,2270,2,1,4,1,9,671,NoRidge,11,290000
20,9600,6,Wd Sdng,1240,Y,1632,2,0,3,1,6,338,NAmes,51,139000
20,8314,7,HdBoard,816,Y,816,1,0,2,1,5,264,Mitchel,25,124500
50,7264,7,Wd Sdng,952,N,1548,2,1,3,1,5,672,BrkSide,84,205000
20,9196,5,VinylSd,1560,Y,1560,2,0,3,1,7,573,Mitchel,7,201000
20,19138,5,VinylSd,864,Y,864,1,0,2,1,4,400,Gilbert,59,141000
20,14450,5,CemntBd,2121,Y,2121,2,1,3,1,8,732,NridgHt,1,415298
60,10005,5,Plywood,1160,Y,2022,2,1,4,1,8,505,ClearCr,31,192000
60,11287,6,Plywood,807,Y,1982,2,1,3,1,7,575,SawyerW,18,228500
20,7200,5,VinylSd,1262,Y,1262,2,0,2,1,5,572,Somerst,0,185000
120,5063,5,VinylSd,1314,Y,1314,2,0,2,1,6,626,NridgHt,2,207500
20,9612,5,VinylSd,1468,Y,1468,2,0,3,1,6,898,Somerst,1,244600
120,8012,5,Plywood,1575,Y,1575,2,0,2,1,5,529,SawyerW,15,179200
160,4251,5,MetalSd,625,Y,1250,2,1,2,1,5,528,Somerst,1,164700
50,9786,7,Wd Sdng,912,Y,1734,1,1,3,1,7,440,NAmes,44,159000
20,8125,4,HdBoard,858,Y,858,1,0,3,1,5,0,NAmes,35,88000
20,9819,5,MetalSd,882,Y,900,1,0,3,1,5,280,Sawyer,43,122000
