MSSubClass,LotArea,OverallCond,Exterior1st,TotalBsmtSF,CentralAir,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageArea,Neighborhood,Age,SalePrice
70,8730,7,Wd Sdng,698,Y,1396,1,0,3,1,7,384,BrkSide,92,153575
60,15611,5,VinylSd,1079,Y,1919,2,1,3,1,8,685,CollgCr,0,233230
190,5687,6,VinylSd,780,N,1716,2,0,6,1,9,0,SWISU,96,135900
50,11409,4,Wd Sdng,768,Y,1716,1,1,3,1,8,281,Edwards,60,131000
60,16659,7,Plywood,795,Y,2263,2,1,3,1,9,539,NWAmes,29,235000
20,9600,5,HdBoard,1416,Y,1644,1,0,3,1,7,418,NAmes,56,167000
80,7937,6,HdBoard,1003,Y,1003,1,0,3,1,6,588,Mitchel,22,142500
50,13710,5,Wd Sdng,910,Y,1558,1,1,4,1,6,282,IDOTRR,57,152000
60,7399,5,VinylSd,975,Y,1950,2,1,3,1,7,576,Somerst,10,239000
60,11700,6,HdBoard,702,Y,1743,1,2,3,1,7,539,NWAmes,39,175000
20,14000,8,HdBoard,1092,Y,1152,1,0,3,1,6,300,Crawfor,59,158500
190,15750,5,MetalSd,1165,Y,1336,1,0,2,1,5,375,Crawfor,53,157000
60,16226,5,VinylSd,1028,Y,2452,2,1,4,1,9,683,CollgCr,9,267000
20,13704,5,VinylSd,1541,Y,1541,2,0,3,1,6,843,CollgCr,5,205000
20,9800,7,VinylSd,894,Y,894,1,0,3,1,5,552,CollgCr,34,149900
75,18386,9,CemntBd,1470,Y,3493,3,0,3,1,10,870,OldTown,128,295000
20,10386,5,CemntBd,2000,Y,2000,2,0,3,1,8,888,CollgCr,3,305900
60,13474,5,HdBoard,700,Y,2243,2,1,4,1,8,746,SawyerW,17,225000
50,7920,7,MetalSd,319,Y,1406,1,0,3,1,6,0,IDOTRR,88,89500
30,12342,5,VinylSd,861,Y,861,1,0,1,1,4,539,Edwards,69,82500
20,12378,5,VinylSd,1896,Y,1944,2,0,3,1,8,708,NridgHt,3,360000
60,7685,5,HdBoard,697,Y,1501,2,1,3,1,6,420,Gilbert,13,165600
20,8000,6,VinylSd,972,Y,972,1,0,2,1,5,240,NAmes,61,132000
190,7800,7,MetalSd,793,Y,1118,1,0,3,1,5,410,OldTown,67,119900
20,215245,5,BrkFace,2136,Y,2036,2,0,3,1,8,513,Timber,44,375000
70,9600,7,Wd Sdng,728,Y,1641,1,1,3,1,6,546,OldTown,81,178000
60,7795,5,VinylSd,716,Y,1432,2,1,3,1,6,432,Gilbert,5,188500
60,13005,7,CemntBd,845,Y,2353,2,1,4,1,10,484,NWAmes,29,260000
60,9000,5,VinylSd,1088,Y,1959,2,1,3,1,8,1025,Somerst,1,270000
60,9900,5,HdBoard,1347,Y,2646,2,1,4,1,9,656,NoRidge,16,260000
80,14115,5,Plywood,1372,Y,1472,2,0,3,1,6,588,NWAmes,29,187500
60,16259,5,VinylSd,1249,Y,2596,3,1,4,1,9,840,NridgHt,0,342643
60,12099,5,VinylSd,1136,Y,2468,2,1,4,1,10,872,NridgHt,3,354000
60,10380,5,Plywood,1502,Y,2730,2,1,4,1,8,576,SawyerW,21,301000
20,5820,8,VinylSd,1162,Y,1163,1,0,3,1,6,220,OldTown,51,126175
80,11275,7,Wd Sdng,710,Y,2978,2,1,5,1,11,564,NAmes,43,242000
45,5000,6,MetalSd,720,N,803,1,0,2,1,5,360,IDOTRR,66,87000
120,10846,5,BrkFace,1719,Y,1719,1,1,1,1,6,473,Veenker,15,324000
20,11600,5,Wd Sdng,1383,Y,1383,1,1,3,1,7,292,NAmes,46,145250
75,11888,6,Wd Sdng,844,N,2134,2,0,5,1,10,441,BrkSide,93,214500
70,6402,5,Wd Sdng,596,N,1192,1,0,3,1,6,189,IDOTRR,89,78000
90,10624,4,HdBoard,1728,Y,1728,2,0,6,2,10,352,NAmes,43,119000
20,8176,6,Wd Sdng,1056,Y,1056,1,0,3,1,6,308,NAmes,49,139000
20,10655,5,VinylSd,3206,Y,1629,2,0,3,1,7,880,NridgHt,6,284000
120,8198,5,VinylSd,1358,Y,1358,2,0,2,1,6,484,NridgHt,4,207000
60,9042,5,VinylSd,943,Y,1638,2,1,3,1,7,472,Gilbert,10,192000
190,164660,6,Plywood,1499,Y,1786,2,0,3,1,7,529,Timber,43,228950
20,14157,5,VinylSd,1922,Y,1922,2,0,3,1,8,676,StoneBr,2,377426
20,9135,5,VinylSd,1536,Y,1536,2,0,3,1,7,532,CollgCr,6,214000
20,14145,7,Wd Sdng,1208,Y,1621,2,0,3,1,8,440,NWAmes,22,202500
20,12400,7,Wd Sdng,1215,Y,1215,1,0,3,1,6,297,NAmes,51,155000
60,14191,5,VinylSd,967,Y,1908,2,1,4,1,9,431,Timber,8,202900
20,8400,4,Wd Sdng,721,Y,841,1,0,2,1,4,294,SawyerW,59,82000
90,8544,4,Stucco,0,N,1040,2,0,2,2,6,400,NAmes,57,87500
120,8849,5,MetalSd,1684,Y,1684,2,0,2,1,6,564,NridgHt,3,266000
160,2592,3,CemntBd,536,Y,1112,1,1,3,1,4,336,MeadowV,34,85000
50,6435,5,MetalSd,972,Y,1577,1,0,3,1,6,312,BrkSide,67,140200
20,12772,8,MetalSd,958,Y,958,1,0,2,1,5,301,NAmes,47,151500
20,17600,5,Wd Sdng,1478,Y,1478,2,0,3,1,6,498,NAmes,49,157500
160,2448,5,VinylSd,764,Y,1626,2,1,2,1,6,474,NridgHt,5,154000
60,20431,5,CemntBd,1848,Y,2728,2,1,4,1,10,706,NridgHt,1,437154
120,7820,5,MetalSd,1869,Y,1869,2,0,2,1,6,617,NridgHt,0,318061
120,5271,5,Wd Sdng,1453,Y,1453,1,1,2,1,6,445,ClearCr,20,190000
50,9084,6,VinylSd,616,N,1111,1,0,3,1,5,200,Edwards,67,95000
30,8520,8,VinylSd,624,Y,720,1,0,2,1,5,484,OldTown,82,105900
50,8400,5,Wd Sdng,940,Y,1595,1,0,2,1,6,240,SWISU,66,140000
20,11249,5,VinylSd,1200,Y,1200,2,0,3,1,6,521,CollgCr,12,177500
20,9248,6,HdBoard,1158,Y,1167,2,0,3,1,6,400,Gilbert,17,173000
120,4224,5,CemntBd,1142,Y,1142,1,1,3,1,6,528,MeadowV,31,134000
80,6930,4,Wd Sdng,1062,Y,1352,1,0,3,1,6,288,ClearCr,48,130000
60,12011,5,VinylSd,1086,Y,1924,2,1,3,1,7,592,NoRidge,8,280000
85,7540,6,VinylSd,888,Y,912,1,0,2,1,5,470,Mitchel,29,156000
50,9144,5,MetalSd,883,Y,1505,1,0,3,1,8,240,BrkSide,68,145000
85,7301,5,HdBoard,0,Y,1922,3,0,4,1,7,672,Edwards,6,198500
160,1680,8,HdBoard,483,Y,987,1,1,2,1,5,264,BrDale,37,118000
60,18800,5,HdBoard,796,Y,1574,2,1,3,1,6,566,NWAmes,30,190000
70,10690,7,VinylSd,672,Y,1344,1,0,3,1,6,468,IDOTRR,89,147000
20,9500,5,Plywood,1394,Y,1394,1,1,3,1,6,514,NAmes,46,159000
80,9150,5,Plywood,1099,Y,1431,1,0,3,1,6,296,NAmes,46,165000
20,7800,6,HdBoard,1268,Y,1268,1,0,2,1,7,244,NAmes,56,132000
20,9830,7,Wd Sdng,1063,Y,1287,1,0,3,1,7,576,NAmes,51,162000
60,8121,5,VinylSd,953,Y,1664,2,1,3,1,7,460,Gilbert,6,172400
50,17120,4,WdShing,0,Y,1588,2,0,4,1,7,680,ClearCr,49,134432
120,7175,5,Plywood,744,Y,752,1,0,2,1,4,264,SawyerW,26,125000
20,10634,6,MetalSd,608,Y,1319,1,0,3,1,5,270,NAmes,56,123000
60,8200,5,VinylSd,847,Y,1928,2,1,4,1,8,434,CollgCr,4,219500
30,10020,1,Wd Sdng,683,N,904,0,1,1,1,4,0,Edwards,87,61000
85,8846,5,VinylSd,870,Y,914,1,0,2,1,5,576,CollgCr,10,148000
60,11143,5,CemntBd,1580,Y,2466,3,0,4,1,8,610,Somerst,3,340000
20,11394,2,VinylSd,1856,Y,1856,1,1,1,1,8,834,StoneBr,0,394432
60,8123,5,VinylSd,982,Y,1800,2,1,3,1,7,463,Gilbert,9,179000
50,5000,6,BrkFace,1026,Y,1691,2,0,3,1,6,308,SWISU,86,127000
20,7200,5,VinylSd,1293,Y,1301,2,0,2,1,5,572,Somerst,0,187750
60,9245,5,VinylSd,939,Y,1797,2,1,3,1,8,639,CollgCr,1,213500
45,9000,3,Wd Sdng,784,N,784,1,0,2,1,5,360,SawyerW,81,76000
60,53107,5,HdBoard,1580,Y,1953,2,1,3,1,9,501,ClearCr,15,240000
120,3182,5,VinylSd,1256,Y,1269,2,0,2,1,6,430,Blmngtn,6,192000
50,8410,3,Wd Sdng,658,Y,1184,1,0,5,1,8,0,Edwards,96,81000
80,7200,6,MetalSd,1041,Y,1125,1,0,3,1,6,352,Edwards,33,125000
20,9382,5,VinylSd,1468,Y,1479,2,0,3,1,6,577,CollgCr,9,191000
60,12474,5,VinylSd,1682,Y,2332,2,1,3,1,9,846,NridgHt,1,426000
50,8405,8,MetalSd,861,Y,1367,1,0,4,1,7,384,Edwards,108,119000
60,12209,5,VinylSd,804,Y,1961,2,1,3,1,7,560,Mitchel,8,215000
20,8339,7,MetalSd,0,Y,882,1,0,3,1,5,294,NAmes,48,106500
30,7446,5,WdShing,788,Y,788,1,0,2,1,4,0,BrkSide,65,100000
50,10134,6,MetalSd,735,Y,1034,1,0,2,1,5,240,OldTown,67,109000
20,9571,6,Wd Sdng,1144,Y,1144,1,0,3,1,6,596,Edwards,54,129000
20,7200,5,MetalSd,894,Y,894,1,0,2,1,6,600,CollgCr,37,123000
60,7590,5,VinylSd,864,Y,1812,2,0,4,1,8,264,NAmes,45,169500
30,8967,2,MetalSd,961,Y,1077,1,0,2,1,6,338,IDOTRR,87,67000
60,8125,5,CemntBd,1092,Y,1550,2,0,2,1,7,438,Somerst,3,241000
120,14963,5,BrkFace,1260,Y,1288,1,1,1,1,4,500,Veenker,12,245500
20,8767,5,VinylSd,1310,Y,1310,2,0,3,1,6,400,CollgCr,1,164990
30,10200,8,Wd Sdng,672,Y,672,1,0,2,1,4,240,Sawyer,68,108000
60,12090,5,VinylSd,1141,Y,2263,2,1,4,1,10,420,NoRidge,8,258000
60,10364,5,MetalSd,806,Y,1572,2,1,3,1,7,373,Gilbert,12,168000
20,9991,4,Plywood,1281,Y,1620,2,0,3,1,8,490,Sawyer,33,150000
50,10480,5,MetalSd,1064,Y,1639,1,0,3,1,6,240,SWISU,72,115000
70,15576,7,Wd Sdng,840,Y,1680,2,0,4,1,8,308,Crawfor,93,177000
60,14154,5,VinylSd,1063,Y,2172,2,1,3,1,9,947,NridgHt,1,280000
60,10800,5,VinylSd,1034,Y,2078,2,1,3,1,8,836,Somerst,1,339750
20,9571,3,BrkComm,1276,Y,1276,1,0,3,1,5,350,Edwards,51,60000
190,34650,5,Wd Sdng,1056,N,1056,1,0,3,1,5,572,Gilbert,51,145000
20,4403,5,MetalSd,1470,Y,1478,2,1,2,1,7,484,Somerst,1,222000
30,8960,6,WdShing,1008,Y,1028,1,0,2,1,5,360,OldTown,83,115000
60,11228,5,VinylSd,1080,Y,2097,2,1,3,1,9,678,SawyerW,15,228000
20,8899,5,VinylSd,1340,Y,1340,2,0,3,1,6,396,Gilbert,0,181134
60,7844,7,HdBoard,672,Y,1400,1,1,3,1,6,440,Sawyer,28,149500
70,22420,6,Wd Sdng,1370,N,2624,2,1,4,1,10,864,Crawfor,89,239000
50,8160,6,MetalSd,756,N,1134,1,1,3,1,7,240,Edwards,67,126000
20,8450,6,VinylSd,1056,Y,1056,1,0,3,1,6,304,NAmes,42,142000
90,7060,5,VinylSd,1344,Y,1344,2,0,2,2,8,784,Mitchel,11,206300
20,16635,7,CemntBd,1602,Y,1602,2,0,3,1,8,529,NWAmes,32,215000
20,21750,5,HdBoard,988,Y,988,1,0,2,1,4,520,Mitchel,54,113000
60,9200,5,VinylSd,1470,Y,2630,2,1,4,1,8,696,NoRidge,10,315000
20,9000,5,Wd Sdng,1196,Y,1196,1,0,2,1,6,297,NAmes,52,139000
60,3378,8,HdBoard,651,Y,1389,1,1,3,1,6,240,OldTown,63,135000
80,12800,5,Wd Sdng,1518,Y,1644,2,0,2,1,5,569,SawyerW,20,275000
20,8593,6,MetalSd,907,Y,907,1,0,3,1,5,352,NAmes,51,109008
20,6762,5,VinylSd,1208,Y,1208,2,0,2,1,6,628,CollgCr,0,195400
20,11457,5,HdBoard,1392,Y,1412,2,0,3,1,6,576,Timber,21,175000
160,1680,5,HdBoard,483,Y,987,1,1,2,1,4,264,BrDale,37,85400
50,5586,7,MetalSd,901,Y,1198,1,0,4,1,7,0,OldTown,88,79900
160,1920,5,HdBoard,765,Y,1365,1,1,2,1,6,440,BrDale,36,122500
60,10839,5,VinylSd,926,Y,1604,2,1,3,1,7,470,Gilbert,11,181000
180,1890,7,CemntBd,630,Y,630,1,0,1,1,3,0,MeadowV,36,81000
60,10667,6,VinylSd,799,Y,1661,2,1,3,1,6,550,CollgCr,13,212000
50,4400,8,Stucco,648,Y,1118,1,0,2,1,6,440,OldTown,86,116000
45,6000,7,Wd Sdng,884,Y,904,1,0,2,1,4,180,BrkSide,83,119000
30,4280,6,WdShing,440,N,694,1,0,2,1,4,352,Crawfor,94,90350
50,12354,8,Wd Sdng,684,Y,1196,1,0,3,1,7,528,Edwards,89,110000
20,15431,5,VinylSd,3094,Y,2402,2,0,2,1,10,672,NridgHt,1,555000
90,12108,4,VinylSd,1440,N,1440,2,0,4,2,8,0,Edwards,53,118000
50,6240,7,MetalSd,1078,Y,1573,2,0,3,1,8,360,BrkSide,78,162900
120,3922,5,WdShing,1258,Y,1258,2,0,2,1,6,648,Blmngtn,1,172500
60,8750,5,VinylSd,915,Y,1908,2,1,4,1,8,493,CollgCr,14,210000
20,9855,5,Wd Sdng,1436,Y,1689,1,0,3,1,7,480,Edwards,53,127500
20,16492,6,BrkFace,1517,Y,1888,2,1,2,1,6,578,NAmes,44,190000
60,11214,5,VinylSd,930,Y,1886,2,1,4,1,10,431,Gilbert,8,199900
50,8600,6,MetalSd,780,Y,1376,2,0,3,1,7,198,IDOTRR,69,119500
50,6000,7,MetalSd,649,Y,1183,1,1,2,1,6,308,OldTown,59,120000
30,5684,8,Wd Sdng,813,Y,813,1,0,2,1,5,270,OldTown,76,110000
20,70761,5,Plywood,1533,Y,1533,2,0,2,1,5,576,ClearCr,31,280000
60,9303,5,VinylSd,872,Y,1756,2,1,3,1,7,422,Timber,11,204000
60,9000,5,VinylSd,768,Y,1590,2,1,3,1,6,676,Somerst,1,210000
90,9297,5,Plywood,1728,Y,1728,2,0,4,2,8,560,Mitchel,30,188000
20,9600,6,HdBoard,1242,Y,1242,1,1,3,1,6,528,NWAmes,34,175500
70,4571,5,AsbShng,624,N,1344,1,0,4,1,7,513,OldTown,92,98000
20,53227,6,Plywood,1364,Y,1663,1,0,2,1,6,529,ClearCr,54,256000
70,5100,7,Stucco,588,Y,1666,1,0,3,1,7,228,OldTown,83,161000
50,7015,4,MetalSd,709,Y,1203,1,0,3,1,5,352,BrkSide,59,110000
60,8004,5,VinylSd,832,Y,1935,2,1,3,1,8,552,Somerst,0,263435
70,7200,9,Wd Sdng,560,Y,1135,1,0,3,1,6,576,SWISU,73,155000
20,8281,5,MetalSd,864,Y,864,1,0,3,1,5,360,Sawyer,44,62383
70,11988,7,Stucco,715,Y,1660,1,1,3,1,6,240,Crawfor,74,188700
20,8430,5,HdBoard,1040,Y,1040,2,0,3,1,5,0,CollgCr,31,124000
120,3072,5,VinylSd,1375,Y,1414,2,0,2,1,6,398,Blmngtn,2,178740
20,10628,5,Plywood,1277,Y,1277,1,0,2,1,5,526,NAmes,37,167000
70,9480,7,MetalSd,728,Y,1644,1,1,3,1,7,312,NAmes,65,146500
20,11428,5,VinylSd,1626,Y,1634,2,0,3,1,7,866,NridgHt,1,250000
60,9291,5,HdBoard,832,Y,1710,2,1,3,1,7,506,SawyerW,15,187000
120,6820,5,HdBoard,1488,Y,1502,1,1,1,1,4,528,StoneBr,25,212000
60,11952,6,WdShing,808,Y,1969,2,1,3,1,8,534,NWAmes,30,190000
180,3675,5,VinylSd,547,Y,1072,1,0,2,1,5,525,Edwards,3,148000
20,14977,5,VinylSd,1976,Y,1976,2,0,2,1,7,908,NridgHt,1,440000
120,5330,5,CemntBd,1494,Y,1652,2,0,2,1,6,499,StoneBr,7,251000
20,8480,6,HdBoard,970,Y,970,1,0,2,1,5,624,Sawyer,44,132500
20,13125,5,VinylSd,1478,Y,1493,2,0,3,1,7,508,CollgCr,11,208900
60,13693,5,VinylSd,2153,Y,2643,2,1,3,1,9,694,NridgHt,1,380000
20,10637,5,VinylSd,1705,Y,1718,2,0,3,1,7,826,CollgCr,2,297000
30,5925,7,Stucco,907,Y,1131,1,0,2,1,7,672,OldTown,70,89471
20,16033,5,VinylSd,1833,Y,1850,2,0,3,1,8,772,NridgHt,2,326000
20,11846,5,VinylSd,1792,Y,1792,2,0,2,1,6,874,NridgHt,3,374000
70,2500,8,Stucco,910,Y,1826,1,1,4,1,7,164,OldTown,94,155000
120,4500,5,VinylSd,1216,Y,1216,2,0,2,1,5,402,Mitchel,8,164000
20,7758,7,HdBoard,999,Y,999,1,0,3,1,6,264,Sawyer,45,132500
20,9600,7,MetalSd,1113,Y,1113,1,0,3,1,5,264,NAmes,59,147000
20,10289,7,MetalSd,1073,Y,1073,1,1,3,1,6,515,NAmes,42,156000
20,12243,6,Plywood,1484,Y,1484,2,0,3,1,7,487,NWAmes,36,175000
190,10800,4,Wd Sdng,954,N,2414,2,0,3,2,10,520,OldTown,106,160000
180,1526,8,CemntBd,630,Y,630,1,0,1,1,3,286,MeadowV,39,86000
160,2665,6,CemntBd,264,Y,1304,1,1,3,1,4,336,MeadowV,32,115000
50,9490,7,Wd Sdng,806,Y,1578,1,0,3,1,5,240,NAmes,65,133000
60,15578,5,VinylSd,728,Y,1456,2,1,3,1,8,429,Gilbert,0,172785
20,7931,6,BrkFace,1269,Y,1269,1,1,3,1,6,308,NAmes,48,155000
30,5784,8,MetalSd,190,Y,886,1,0,2,1,4,273,OldTown,71,91300
30,7879,5,Wd Sdng,720,N,720,1,0,2,1,4,0,IDOTRR,89,34900
20,12692,5,BrkFace,3200,Y,3228,3,0,4,1,10,546,NoRidge,15,430000
50,9120,6,Wd Sdng,1026,Y,1820,2,0,4,1,8,240,BrkSide,83,184000
20,7800,7,HdBoard,864,Y,899,1,0,3,1,5,288,Sawyer,42,130000
20,7535,7,MetalSd,912,Y,912,1,0,2,1,5,297,NAmes,49,120000
160,1890,5,HdBoard,672,Y,1218,1,1,3,1,7,264,BrDale,34,113000
60,9803,5,VinylSd,866,Y,1768,2,1,3,1,7,603,Somerst,3,226700
20,9170,7,MetalSd,1214,Y,1214,1,0,2,1,6,461,Edwards,42,140000
20,15602,8,BrkFace,1501,Y,1801,2,0,1,1,6,484,Crawfor,51,289000
160,2308,5,Plywood,855,Y,1322,2,1,3,1,6,440,NPkVill,35,147000
90,7596,5,Wd Sdng,960,Y,1960,2,0,4,2,10,400,OldTown,57,124500
60,9554,5,VinylSd,777,Y,1911,2,1,3,1,8,471,SawyerW,13,215000
20,7862,5,VinylSd,1218,Y,1218,2,0,2,1,4,676,Somerst,0,208300
70,9600,9,MetalSd,689,Y,1378,2,0,3,1,7,360,OldTown,80,161000
20,9600,6,MetalSd,1041,Y,1041,1,0,3,1,6,270,NAmes,50,124500
20,14559,7,Wd Sdng,1008,Y,1363,1,0,2,1,6,288,NAmes,58,164900
120,6792,5,VinylSd,1368,Y,1368,2,0,2,1,6,474,NridgHt,1,202665
20,9100,5,VinylSd,864,Y,864,1,0,3,1,5,624,NAmes,48,129900
20,9187,5,VinylSd,1084,Y,1080,1,1,3,1,5,484,Mitchel,24,134000
45,10594,5,Wd Sdng,768,N,789,1,0,2,1,5,200,Crawfor,81,96500
20,12220,5,CemntBd,2006,Y,2020,2,1,3,1,9,900,NridgHt,0,402861
80,10448,6,HdBoard,689,Y,2119,2,1,3,1,7,583,NWAmes,37,158000
60,10208,5,VinylSd,1264,Y,2344,2,1,3,1,7,889,NoRidge,13,265000
60,9531,5,VinylSd,794,Y,1796,2,1,3,1,7,546,CollgCr,9,211000
70,10918,9,MetalSd,1276,Y,2080,1,1,3,1,9,282,Crawfor,83,234000
190,10800,7,MetalSd,0,N,1294,2,0,3,2,7,0,OldTown,108,106250
20,11988,6,VinylSd,1244,Y,1244,1,1,3,1,6,336,NAmes,50,150000
50,5000,7,CemntBd,1004,Y,1664,2,0,3,1,7,420,BrkSide,59,159000
60,40094,5,CemntBd,3138,Y,4676,3,1,3,1,11,884,Edwards,0,184750
60,11787,5,VinylSd,1379,Y,2398,2,1,3,1,8,834,NoRidge,11,315750
20,7500,5,VinylSd,1257,Y,1266,2,0,3,1,6,453,Somerst,1,176000
20,13300,7,Wd Sdng,928,Y,928,1,0,2,1,4,252,NAmes,51,132000
60,14948,5,VinylSd,1452,Y,2713,2,1,3,1,11,858,NridgHt,0,446261
30,9098,7,Wd Sdng,528,Y,605,1,0,2,1,5,0,Edwards,87,86000
20,32668,3,Wd Sdng,2035,Y,2515,3,0,4,2,9,484,Crawfor,50,200624
80,10200,5,HdBoard,1461,Y,1509,2,0,3,1,5,600,Timber,20,175000
70,6155,8,Wd Sdng,611,Y,1362,2,0,3,1,6,502,BrkSide,88,128000
20,7200,7,VinylSd,0,Y,827,1,0,2,1,5,392,NAmes,55,107500
20,5000,3,VinylSd,0,N,334,1,0,1,1,2,0,BrkSide,61,39300
60,9056,5,VinylSd,707,Y,1414,2,1,3,1,6,403,Gilbert,2,178000
190,7000,7,MetalSd,1117,Y,1347,1,0,3,1,5,0,Edwards,98,107500
60,8924,5,VinylSd,880,Y,1724,2,1,3,1,8,527,CollgCr,10,188000
20,12735,5,MetalSd,864,Y,864,1,0,3,1,5,576,NAmes,36,111250
20,11553,5,Plywood,1051,Y,1159,1,1,3,1,7,336,Sawyer,38,158000
20,11423,5,VinylSd,1581,Y,1601,2,0,3,1,6,670,CollgCr,9,272000
20,14601,5,VinylSd,1838,Y,1838,2,0,2,1,8,765,Timber,3,315000
60,11000,5,VinylSd,969,Y,2285,2,1,4,1,8,648,NoRidge,7,248000
20,10140,5,VinylSd,1650,Y,1680,2,0,3,1,7,583,NWAmes,11,213250
120,4058,5,MetalSd,723,Y,767,1,0,1,1,4,367,NAmes,9,133000
60,17104,5,VinylSd,654,Y,1496,2,1,3,1,7,426,Gilbert,0,179665
50,13837,5,HdBoard,1204,Y,2183,2,1,4,1,9,786,NWAmes,18,229000
50,8737,7,BrkFace,1065,Y,1635,1,1,3,1,6,440,BrkSide,84,210000
85,7244,7,VinylSd,768,Y,768,1,0,2,1,5,624,Mitchel,37,129500
20,8235,7,MetalSd,825,Y,825,1,0,2,1,4,720,OldTown,53,125000
60,9375,5,VinylSd,912,Y,2094,2,1,4,1,8,615,Somerst,6,263000
120,4043,6,Plywood,1069,Y,1069,2,0,2,1,4,440,NPkVill,31,140000
20,6000,6,BrkFace,928,Y,928,1,0,3,1,5,288,OldTown,51,112500
20,11146,5,VinylSd,1709,Y,1717,2,0,3,1,7,908,NridgHt,3,255500
20,8777,5,VinylSd,0,Y,1126,2,0,2,1,5,520,Edwards,60,108000
60,10625,5,VinylSd,998,Y,2046,2,1,3,1,8,871,NridgHt,5,284000
45,6380,6,MetalSd,993,Y,1048,1,0,2,1,5,280,BrkSide,84,113000
20,14850,5,Wd Sdng,1092,Y,1092,1,0,2,1,6,299,NAmes,49,141000
50,11040,6,MetalSd,637,Y,1336,1,1,3,1,7,570,IDOTRR,86,108000
60,21872,5,HdBoard,729,Y,1446,2,1,3,1,6,406,Gilbert,12,175000
120,3196,5,VinylSd,1374,Y,1557,2,0,2,1,7,420,Blmngtn,3,234000
20,11341,6,Wd Sdng,1392,Y,1392,1,1,3,1,5,528,Sawyer,53,121500
20,10010,5,HdBoard,1389,Y,1389,1,0,2,1,6,418,Mitchel,32,170000
30,13907,6,WdShing,996,Y,996,1,0,3,1,6,0,Edwards,68,108000
50,21780,7,Wd Sdng,1163,Y,1674,2,0,4,1,8,396,Edwards,90,185000
60,13346,5,HdBoard,1095,Y,2295,2,1,4,1,9,590,NoRidge,14,268000
70,6858,4,Wd Sdng,806,N,1647,1,1,4,1,6,216,SWISU,95,128000
60,11198,5,VinylSd,1122,Y,2504,2,1,4,1,11,656,StoneBr,3,325000
20,10171,5,VinylSd,1517,Y,1535,2,0,3,1,7,532,NridgHt,6,214000
50,12327,8,Wd Sdng,1496,Y,2132,1,1,1,1,5,612,SawyerW,26,316600
90,7032,5,MetalSd,943,Y,943,1,0,2,1,4,600,NAmes,27,135960
90,13101,5,HdBoard,1728,Y,1728,2,0,6,2,10,576,NAmes,43,142600
20,7332,6,WdShing,864,Y,864,1,0,2,1,4,288,NAmes,47,120000
60,13159,5,VinylSd,846,Y,1692,2,1,3,1,6,650,Timber,0,224500
80,9967,5,VinylSd,384,Y,1430,2,1,3,1,8,400,Gilbert,7,170000
80,10500,7,MetalSd,372,Y,1109,1,0,3,1,5,288,NAmes,36,139000
50,8480,5,MetalSd,832,Y,1216,1,0,2,1,6,336,NAmes,61,118500
50,6292,7,Wd Sdng,861,Y,1477,2,0,3,1,6,216,SWISU,81,145000
80,11777,6,VinylSd,1164,Y,1320,1,0,3,1,6,564,Sawyer,40,164500
160,3604,5,VinylSd,689,Y,1392,2,0,2,1,5,540,Somerst,1,146000
50,12150,5,MetalSd,1050,N,1795,2,0,4,1,7,352,OldTown,54,131500
20,14585,6,Wd Sdng,1144,Y,1429,1,0,3,1,7,572,NAmes,47,181900
